code,prev_score_long,prev_score_short,next_return
9432.T,-0.0979489211096739,0.0979489211096739,0.009815988365126538
9022.T,0.02703299143007283,-0.02703299143007283,0.00976361767728684
5020.T,-0.12646703662986508,0.12646703662986508,0.009356561709277678
9021.T,-0.12986045198268595,0.12986045198268595,0.009040536599591809
9433.T,-0.19885866463762608,0.19885866463762608,0.008745247148288948
2503.T,0.12799964481400336,-0.12799964481400336,0.008366256100394986
4503.T,-0.008576303007261657,0.008576303007261657,0.008078994614003632
4188.T,-0.17125017232846038,0.17125017232846038,0.008066502624111571
8267.T,-0.255694394858979,0.255694394858979,0.007712082262210762
7751.T,-0.01928947143927775,0.01928947143927775,0.007105202842081049
4911.T,-0.03876396477672462,0.03876396477672462,0.00556438791732905
4507.T,-0.06023827863759164,0.06023827863759164,0.0051399200456880845
4523.T,0.06121134695787945,-0.06121134695787945,0.0049590340664078525
8031.T,-0.18568806632124488,0.18568806632124488,0.004889975550122161
8801.T,0.21340140395660506,-0.21340140395660506,0.004754358161648264
9020.T,-0.18702031602708785,0.18702031602708785,0.004485562097000351
4578.T,-0.14265675462892102,0.14265675462892102,0.004309252217997495
8002.T,-0.23402187120291612,0.23402187120291612,0.003708281829418958
8053.T,-0.22648357037763606,0.22648357037763606,0.0034791252485089075
8830.T,-0.13016893546902603,0.13016893546902603,0.003093958638658245
4519.T,-0.15327489890467383,0.15327489890467383,0.0027230498157937433
9202.T,-0.16739130434782618,0.16739130434782618,0.002673796791443861
6752.T,-0.16652018497607438,0.16652018497607438,0.0026263952724885353
4063.T,-0.12605870490701304,0.12605870490701304,0.0025929127052721768
8591.T,0.14528128080204533,-0.14528128080204533,0.0023578726748756385
8604.T,0.27040913415794493,-0.27040913415794493,0.0018382352941177516
7270.T,-0.25510003279763854,0.25510003279763854,0.0013490725126474867
9735.T,0.18071957307626102,-0.18071957307626102,0.0012167564748826187
4901.T,-0.16716671384092835,0.16716671384092835,0.001113895850737956
3407.T,-0.15683453237410055,0.15683453237410055,0.0008802816901407606
6367.T,-0.21400700350175078,0.21400700350175078,0.0005037783375314575
8725.T,0.2742941536343263,-0.2742941536343263,-0.00027785495971099916
6723.T,-0.12946530147895335,0.12946530147895335,-0.001098901098901095
6501.T,-0.20885161891451204,0.20885161891451204,-0.0016378100140383989
6178.T,0.26025727826675676,-0.26025727826675676,-0.0016431153466973658
8802.T,-0.011807471451453874,0.011807471451453874,-0.0022130888397091653
3382.T,0.11001373821692856,-0.11001373821692856,-0.002243829468960401
2502.T,-0.11161615496434041,0.11161615496434041,-0.002617801047120394
5802.T,0.2062922103030342,-0.2062922103030342,-0.003209876543209922
4661.T,0.33585135546756,-0.33585135546756,-0.00399315459212779
8308.T,0.3629116117850953,-0.3629116117850953,-0.004166666666666652
5401.T,0.12840498019402713,-0.12840498019402713,-0.0056403450564034285
1928.T,0.16069621749740404,-0.16069621749740404,-0.00702165008777067
2914.T,-0.13543997287147896,0.13543997287147896,-0.007166947723440176
6954.T,-0.12039800995024869,0.12039800995024869,-0.0071770334928229484
6301.T,-0.006986854343610731,0.006986854343610731,-0.007341269841269815
8750.T,0.2983333333333332,-0.2983333333333332,-0.011119936457505974
6869.T,-0.2606207565470418,0.2606207565470418,-0.011252813203300849
4528.T,0.183744557329463,-0.183744557329463,-0.011998829382499299
1925.T,0.20487896415837864,-0.20487896415837864,-0.012167727442905285
8766.T,0.12880428521132609,-0.12880428521132609,-0.012646793134598044
7309.T,0.06756730286142043,-0.06756730286142043,-0.016359309934562805
8309.T,0.26981222917669695,-0.26981222917669695,-0.01651546871365439
9101.T,-0.12933533038424483,0.12933533038424483,-0.017241379310344862
8035.T,-0.10425340113956545,0.10425340113956545,-0.021390374331550777
8411.T,0.3106382978723404,-0.3106382978723404,-0.022177419354838745
8316.T,0.3475327291037263,-0.3475327291037263,-0.022977725674091398
6758.T,0.31738818580691036,-0.31738818580691036,-0.025396085740913343
8306.T,0.33537216100742057,-0.33537216100742057,-0.02548441449031169
6273.T,-0.26978143172247854,0.26978143172247854,-0.03095782256388946
6920.T,0.4479819179851468,-0.4479819179851468,-0.03332375754093653
