date,code,score,next_return
2025-01-22,1925.T,1.0871112486461396,0.0077170254594964875
2025-01-23,1925.T,1.0,-0.0014890036557767075
2025-01-24,1925.T,1.0,0.012995299997242192
2025-01-27,1925.T,2.0,0.0065194364257942375
2025-01-28,1925.T,2.087322087963525,0.010238222039277158
2025-01-29,1925.T,2.0171069687619814,0.00723888759920811
2025-01-30,1925.T,2.163546340708649,0.005749429059583936
2025-01-31,1925.T,2.383918561370465,-0.0036749110739568384
2025-02-03,1925.T,1.4011208967173738,0.0012294886193280855
2025-02-04,1925.T,1.0,0.003888684231389502
2025-02-05,1925.T,1.0,0.00305810583090777
2025-02-06,1925.T,1.0,-0.012601694124155795
2025-02-07,1925.T,0.0,0.002264389501539252
2025-02-10,1925.T,0.0,-0.004929166846628946
2025-02-12,1925.T,0.413334284593158,0.010319923779362672
